airline_sentiment,airline_sentiment_confidence,negativereason,airline,name,text,tweet_created,tweet_location,user_timezone
positive,0.6823,,Virgin America,flyfromWAS,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/tZZJhuIbCH #CheapFlights #FareCompare",2015-02-23 06:57:25-08:00,"Washington, DC",Eastern Time (US & Canada)
neutral,1.0,,Virgin America,flyfromSEA,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/RPdBpX3wNd #CheapFlights #FareCompare",2015-02-23 06:57:24-08:00,Seattle,Central Time (US & Canada)
positive,0.6806,,Virgin America,flyfromNYC,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/B2Xi4YG5T8 #CheapFlights #FareCompare",2015-02-23 06:57:24-08:00,"New York City, NY",Central Time (US & Canada)
neutral,0.6529,,Virgin America,flyfromLAX,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/QDlJHslOI5 #CheapFlights #FareCompare",2015-02-23 06:57:24-08:00,"Los Angeles, CA",Central Time (US & Canada)
positive,1.0,,Virgin America,tstashajones,"@VirginAmerica is the best airline I have flown on.Easy to change your reservation,helpful representatives &amp; a comfortable flying experience",2015-02-23 03:01:39-08:00,"Halifax, Nova Scotia, Canada",Eastern Time (US & Canada)
positive,1.0,,Virgin America,dngoo,@VirginAmerica your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure.,2015-02-23 00:21:40-08:00,"Near a park, water, or lights",Pacific Time (US & Canada)
positive,1.0,,Virgin America,SamBrittenham,"@VirginAmerica Love the team running Gate E9 at LAS tonight. Waited for a delayed flight, and they kept things entertaining",2015-02-23 00:06:55-08:00,USA,Eastern Time (US & Canada)
negative,0.6832,Customer Service Issue,Virgin America,usagibrian,@VirginAmerica Use another browser! 2015 &amp; a brand with a reputation built on tech response doesn't have a cross-browser compatible website?,2015-02-22 22:39:18-08:00,San Francisco CA,Pacific Time (US & Canada)
negative,1.0,Flight Booking Problems,Virgin America,usagibrian,"@VirginAmerica And now the flight Flight Booking Problems site is totally down. Folks, what is the problem?",2015-02-22 22:11:07-08:00,San Francisco CA,Pacific Time (US & Canada)
neutral,1.0,,Virgin America,HishamSharaby,"@VirginAmerica Do you provide complimentary upgrades to first class, if there are available seats?",2015-02-22 17:45:25-08:00,New York,Eastern Time (US & Canada)
negative,0.6703,Customer Service Issue,Virgin America,ChrisFordisHere,@VirginAmerica i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone. Im calling intern. Help!!,2015-02-22 17:14:06-08:00,NYC,Tehran
neutral,1.0,,Virgin America,F6x,@VirginAmerica How can I watch the #Oscars2015 on my JFK-&gt;SFO flight?,2015-02-22 16:05:07-08:00,"San Francisco, CA",Pacific Time (US & Canada)
neutral,1.0,,Virgin America,nikkisixxfan93,@VirginAmerica has flight number 276 from SFO to Cabo San Lucas arrived yet?,2015-02-22 15:03:35-08:00,"Sacramento,California",Pacific Time (US & Canada)
negative,1.0,Late Flight,Virgin America,MOCBlogger,@VirginAmerica Another delayed flight? #likingyoulessandless,2015-02-22 14:49:31-08:00,San Diego,Alaska
negative,1.0,Customer Service Issue,Virgin America,tfaz,@VirginAmerica I need to register a service dog for a first class ticket from SFO &gt; Dulles. The phone queue is an hour or longer. Pls advise,2015-02-22 14:39:09-08:00,"Oakland, California",Pacific Time (US & Canada)
positive,0.7011,,Virgin America,HollywoodHotMom,@VirginAmerica always!!! Xoxo,2015-02-22 14:09:50-08:00,All Over!,Pacific Time (US & Canada)
negative,1.0,Flight Booking Problems,Virgin America,GoShar2012,@VirginAmerica why can't we book seats on your flights when we buy them or even during check in? Creates so much anxiety! #frustrated,2015-02-22 14:07:43-08:00,"Providence, RI",Eastern Time (US & Canada)
negative,0.6543,Flight Attendant Complaints,Virgin America,MOCBlogger,@VirginAmerica You'd think paying an extra $100 bucks RT for luggage might afford you hiring an extra hand at @sfo #lame,2015-02-22 14:03:34-08:00,San Diego,Alaska
negative,0.6889,Late Flight,Virgin America,jarrydosborne,@VirginAmerica please provide status for flight 769.  I cant imagine it's on time as the Web indicates  dude to weather here and/or Dallas,2015-02-22 13:47:02-08:00,New York,Eastern Time (US & Canada)
positive,1.0,,Virgin America,HollywoodHotMom,@VirginAmerica you have amazing staff &amp; super helpful as I just ran the @WaltDisneyWorld #PrincessHalf they have spoiled me with comfort!!!,2015-02-22 13:45:41-08:00,All Over!,Pacific Time (US & Canada)
negative,1.0,Cancelled Flight,Virgin America,mlorenzen,"@VirginAmerica I paid the premium to fly you across the country, you Cancelled Flight my flight and offer no check fee or upgrade love? Sad face :(",2015-02-22 13:29:34-08:00,"iPhone: 29.741360,-90.131523",Pacific Time (US & Canada)
negative,0.679,Flight Booking Problems,Virgin America,Tyler_Starrine,@VirginAmerica question: is it not possible to book a seat for an infant under 2? It's not giving me the option but we want a seat for him.,2015-02-22 13:23:03-08:00,Los Angeles,Pacific Time (US & Canada)
positive,1.0,,Virgin America,jessicajaymes,Always have it together!!! You're welcome! RT @VirginAmerica: @jessicajaymes You're so welcome.,2015-02-22 12:49:25-08:00,"hollywood, california",Pacific Time (US & Canada)
positive,1.0,,Virgin America,livingfitly,@virginamerica #flight home to #dc #sunset #globe in' #backtowinter back to #work! #refreshed http://t.co/VX9vBCTdLf,2015-02-22 12:35:49-08:00,"Washington, DC",Eastern Time (US & Canada)
negative,1.0,Damaged Luggage,Virgin America,khartline,.@VirginAmerica I don't understand why you need a DM to give me an answer on if you have a damaged luggage policy.,2015-02-22 12:34:26-08:00,Las Vegas,Pacific Time (US & Canada)
negative,1.0,Damaged Luggage,Virgin America,khartline,.@VirginAmerica does that mean you don't have a policy for destroyed luggage?,2015-02-22 12:27:38-08:00,Las Vegas,Pacific Time (US & Canada)
positive,1.0,,Virgin America,paulnakada,@VirginAmerica thank you for checking in. tickets are purchased and customer is happy ;-),2015-02-22 11:33:40-08:00,San Francisco,Pacific Time (US & Canada)
negative,1.0,Customer Service Issue,Virgin America,paulnakada,@VirginAmerica having problems Flight Booking Problems on the web site. keeps giving me an error and to contact by phone.  phone is 30 minute wait.,2015-02-22 11:02:26-08:00,San Francisco,Pacific Time (US & Canada)
negative,1.0,Flight Booking Problems,Virgin America,intlwriter,"@VirginAmerica I rang, but there is a wait for 35 minutes!! I can book the same ticket through a vendor, fix your site",2015-02-22 10:38:45-08:00,@ the moment in New Delhi,Pacific Time (US & Canada)
negative,1.0,Late Flight,Virgin America,finslippy,"@VirginAmerica got a flight (we were told) for 4:50 today..,checked my email and its for 4;50 TOMORROW. This is unacceptable.",2015-02-22 10:30:17-08:00,Brooklyn,Eastern Time (US & Canada)
negative,1.0,Cancelled Flight,Virgin America,finslippy,"@VirginAmerica our flight into lga was Cancelled Flighted. We're stuck in Dallas. I called to reschedule, told I could get a flight for today...(1/2)",2015-02-22 10:29:19-08:00,Brooklyn,Eastern Time (US & Canada)
negative,1.0,Bad Flight,Virgin America,Gr8Fratsby,@virginamerica why don't any of the pairings include red wine?! Only white is offered :( #redwineisbetter,2015-02-22 10:19:45-08:00,"Washington, DC",Eastern Time (US & Canada)
negative,1.0,Customer Service Issue,Virgin America,Gr8Fratsby,@VirginAmerica I'm disappointed that the agent at the designated silver status check in line @Dulles_Airport closed to assist all pasengers,2015-02-22 05:51:43-08:00,"Washington, DC",Eastern Time (US & Canada)
neutral,1.0,,Virgin America,NewsSWA,@VirginAmerica Plans to Include Austin to its Dallas Route - TopNews Arab #Emirates http://t.co/aqZWecOkk2,2015-02-22 05:02:06-08:00,FL410,Sydney
negative,1.0,Customer Service Issue,Virgin America,CSHangover,@VirginAmerica Is it normal to receive no reply from Central Baggage #baggageissues #smh,2015-02-22 04:43:56-08:00,Tokyo,Irkutsk
negative,1.0,longlines,Virgin America,girlphotophilly,@VirginAmerica at Logan airport and waiting to checkin for my 9am flight. Checkin desk not open !!!!! Why?!,2015-02-22 03:39:28-08:00,"Philadelphia, Pa",Eastern Time (US & Canada)
neutral,1.0,,Virgin America,NewsSWA,@VirginAmerica to jump into the Dallas-Austin market - @Dallas_News http://t.co/EwwGi97gdx,2015-02-22 03:32:07-08:00,FL410,Sydney
neutral,1.0,,Virgin America,NewsSWA,"@VirginAmerica Beats EPS Views, Takes On #SouthwestAir VA LUV - Investor's Business Daily http://t.co/FLwmGDAHxu",2015-02-22 03:02:06-08:00,FL410,Sydney
neutral,1.0,,Virgin America,NewsSWA,@VirginAmerica to begin Dallas-Austin #flights in April - 88.9 KETR http://t.co/SSUVWwkyHH,2015-02-22 01:32:05-08:00,FL410,Sydney
negative,1.0,Can't Tell,Virgin America,Boards707,"@VirginAmerica congrats, you just got all my business from EWR to SFO/LAX. Fuck you @united fl1289 SFO/EWR was the clincher...",2015-02-21 21:32:59-08:00,"Belmar, NJ",Eastern Time (US & Canada)
neutral,0.6816,,Virgin America,khartline,@VirginAmerica I'd love to know what your policy is for damaged luggage.,2015-02-21 20:41:55-08:00,Las Vegas,Pacific Time (US & Canada)
positive,1.0,,Virgin America,simpasmore,@VirginAmerica Thank you for the follow,2015-02-21 20:33:30-08:00,Barbados ,Eastern Time (US & Canada)
neutral,0.6701,,Virgin America,TTINAC11,@VirginAmerica @TTINAC11 I DM you,2015-02-21 18:35:27-08:00,"Las Vegas, NV",Mountain Time (US & Canada)
negative,1.0,Customer Service Issue,Virgin America,joyabsalon,@VirginAmerica too bad you say it takes 10 to 14 days via YOUR confirmation email. When I inquired after 3 weeks you claim 6 to 8 weeks!,2015-02-21 18:29:35-08:00,Northern Virginia,Eastern Time (US & Canada)
negative,0.6791,Cancelled Flight,Virgin America,meladorri,@VirginAmerica Flight from BOS &gt; LAS tomorrow was Cancelled Flightled. No notification; wait times are 1+ hour. Will you rebook on another airline?,2015-02-21 18:11:58-08:00,"Boston, MA",Central Time (US & Canada)
positive,1.0,,Virgin America,archiegips,@VirginAmerica Only way to fly! #Elevate #Gold,2015-02-21 18:02:51-08:00,LaLa Land,Pacific Time (US & Canada)
negative,1.0,Flight Attendant Complaints,Virgin America,TTINAC11,@VirginAmerica  for all my flight stuff wrong and did nothing about it. Had #worst #flight ever,2015-02-21 17:40:07-08:00,"Las Vegas, NV",Mountain Time (US & Canada)
neutral,0.6743,,Virgin America,TheNotoriousLEX,@VirginAmerica Having an issue finding a missing item on a plane. Can you help me find which airport my plane headed to next?,2015-02-21 17:18:10-08:00,Chicago ,Central Time (US & Canada)
positive,0.6783,,Virgin America,advertisingdiva,@VirginAmerica you will match my #AmericanAirlines status? Cool!,2015-02-21 17:15:29-08:00,DC - LA - Venice Beach,Eastern Time (US & Canada)
negative,1.0,Flight Booking Problems,Virgin America,alexrkonrad,@VirginAmerica trying to book a flight with you guys and your website won't let me... about to lose my business,2015-02-21 17:13:52-08:00,"New York, NY",Eastern Time (US & Canada)
positive,1.0,,Virgin America,lexiesalas,@VirginAmerica thanks!,2015-02-21 16:50:34-08:00,BAYAREA✈️NYC,Pacific Time (US & Canada)
negative,1.0,Flight Booking Problems,Virgin America,MaximWheatley,@VirginAmerica Just DM'd. Same issue persisting.,2015-02-21 16:19:33-08:00,"Washington, DC",Atlantic Time (Canada)
negative,1.0,Cancelled Flight,Virgin America,FiDiFamilies,@VirginAmerica Because we never rec'd Cancelled Flightlation notice we were left w no options to fly out of PS. Driving to LA for a red eye Mon w kids,2015-02-21 15:47:19-08:00,New York City ,Eastern Time (US & Canada)
negative,1.0,Flight Booking Problems,Virgin America,lexiesalas,@VirginAmerica trying to book a flight &amp; your site is down 😁,2015-02-21 15:29:51-08:00,BAYAREA✈️NYC,Pacific Time (US & Canada)
negative,0.7158,Cancelled Flight,Virgin America,Artenis15,@VirginAmerica You have any flights flying into Boston tomorrow? I need to be home and you Cancelled Flightled my flight and didn't do anything,2015-02-21 15:27:52-08:00,MA // Ashton in Wonderland,Eastern Time (US & Canada)
negative,1.0,Cancelled Flight,Virgin America,NancyJFriedman,@VirginAmerica you stink. Flight Cancelled Flighted from PSP to JFK and no notification or ability to rebook #disappointed.  #expected better,2015-02-21 14:34:09-08:00,New York City,Eastern Time (US & Canada)
negative,1.0,Customer Service Issue,Virgin America,MaximWheatley,@VirginAmerica Your website is down and I'm trying to check in!,2015-02-21 14:27:45-08:00,"Washington, DC",Atlantic Time (Canada)
positive,1.0,,Virgin America,carabubes,"@VirginAmerica done! Thank you for the quick response, apparently faster than sitting on hold ;)",2015-02-21 14:24:16-08:00,"Los Angeles, California",Central Time (US & Canada)
neutral,0.6809,,Virgin America,carabubes,@VirginAmerica nervous about my flight from DC to LAX getting Cancelled Flightled tomorrow! Just sent you a DM to help me!,2015-02-21 14:23:24-08:00,"Los Angeles, California",Central Time (US & Canada)
positive,1.0,,Virgin America,wmrrock,@VirginAmerica cool picture of another VirginAmerica plane off our wing. What a site! http://t.co/5B2agFd8c4,2015-02-21 14:21:00-08:00,CT,Eastern Time (US & Canada)
positive,1.0,,Virgin America,DailyBillboard,@VirginAmerica Keep up the great work :),2015-02-21 13:52:20-08:00,"Los Angeles, California",Pacific Time (US & Canada)
positive,1.0,,Virgin America,BigRichTexasPam,@VirginAmerica my goodness your people @love field are amazing under pressure ❤️from Texas #beatstheothers in crisis Please fly me to NY,2015-02-21 13:52:02-08:00,FREE ADVICE! ,Central Time (US & Canada)
positive,0.6775,,Virgin America,rtw4,@VirginAmerica Thanks for a great flight from LA to Boston! Pilots did a great job landing in the snow. Can we go back to LA now? #seriously,2015-02-21 13:41:02-08:00,"Natick, MA, USA",Central Time (US & Canada)
negative,0.7053,Bad Flight,Virgin America,wmrrock,@VirginAmerica seats in Row 8 don't recline should mention that on your website #soreback,2015-02-21 13:30:18-08:00,CT,Eastern Time (US & Canada)
negative,1.0,Late Flight,Virgin America,wmrrock,@VirginAmerica flight 404 delayed 2 hours in LA due to mechanical problems. Handle like pros but you could have tossed us a free drink.,2015-02-21 13:28:49-08:00,CT,Eastern Time (US & Canada)
negative,0.642,Cancelled Flight,Virgin America,BigRichTexasPam,@VirginAmerica why Cancelled Flight flights today? No precipitation to be scared of!  ❄️❄️❄️,2015-02-21 13:18:45-08:00,FREE ADVICE! ,Central Time (US & Canada)
positive,0.6667,,Virgin America,aaronkurlander,@VirginAmerica twitter team. you guys killed it for rescheduling me asap. thank you!,2015-02-21 13:00:26-08:00,"New York, NY",Eastern Time (US & Canada)
negative,1.0,Customer Service Issue,Virgin America,NoelArtiles,@VirginAmerica can’t access your website from Safari on iPhone 6. Seems to work on Mac and iPad. Need iPhone to add Passbook.,2015-02-21 12:48:31-08:00,"Austin, TX",Central Time (US & Canada)
neutral,0.634,,Virgin America,floatingatoll,"@VirginAmerica on iPad and iPhone, clicking the CHECKIN link in the email I received at 24hrs before flight",2015-02-21 12:45:25-08:00,"Silicon Valley, California",Pacific Time (US & Canada)
